Station_Abbrev,Station_Name,City,State,Station_Location_Type
KCLT,Charlotte / Douglas International Airport,Charlotte,North Carolina,airport
KCQT,Los Angeles / USC Campus Downtown,Los Angeles,California,university
KHOU,Houston Hobby Airport,Houston,Texas,airport
KIND,Indianapolis International Airport,Indianapolis,Indiana,airport
KJAX,Jacksonville International Airport,Jacksonville,Florida,airport
KMDW,Chicago Midway Airport,Chicago,Illinois,airport
KNYC,"Central Park, New York",New York City,New York,park
KPHL,Philadelphia International Airport,Philadelphia,Pennsylvania,airport
KPHX,Phoenix Sky Harbor International Airport,Phoenix,Arizona,airport
KSEA,Seattle-Tacoma International Airport,Seattle,Washington,airport
